Date,Open,High,Low,Close,Volume,NextM_Close
10/1/2004,3.273273,5.003754,3.225726,4.770771,10272433284,4.554054
11/1/2004,4.843594,5.045045,4.036787,4.554054,11092660236,4.824575
12/1/2004,4.553303,5.002002,4.215966,4.824575,5807878308,4.895395
1/1/2005,4.93994,5.137638,4.411662,4.895395,8198389404,4.704454
2/1/2005,4.864364,5.425425,4.52953,4.704454,13011367608,4.517267
3/1/2005,4.736987,4.751001,4.318569,4.517267,6871082040,5.505506
4/1/2005,4.548549,5.624124,4.500501,5.505506,9058576356,6.938689
5/1/2005,5.556807,6.966967,5.510761,6.938689,10140601248,7.361111
6/1/2005,7.087087,7.738989,6.692442,7.361111,15544507932,7.201201
7/1/2005,7.383383,7.952953,7.181932,7.201201,8189766036,7.157157
8/1/2005,7.21021,7.500501,6.840591,7.157157,5713157124,7.919419
9/1/2005,7.154905,8.031782,7.132132,7.919419,6799321872,9.312813
10/1/2005,7.848599,9.378128,7.274274,9.312813,7710781500,10.132883
11/1/2005,9.305806,10.791792,9.234484,10.132883,8458177356,10.381882
12/1/2005,10.24024,11.166416,9.985235,10.381882,7943316732,10.827327
1/1/2006,10.573574,11.88964,9.878378,10.827327,11949642396,9.074575
2/1/2006,9.735485,10.172673,8.454204,9.074575,11889099000,9.75976
3/1/2006,9.223223,9.984985,8.297047,9.75976,12258289440,10.458959
4/1/2006,9.747998,11.279279,9.707958,10.458959,7405167420,9.304805
5/1/2006,10.472222,10.496496,9.023273,9.304805,7030554408,10.493744
6/1/2006,9.347848,10.493744,9.299299,10.493744,5689528776,9.674675
7/1/2006,10.511512,10.707958,9.451702,9.674675,5095775124,9.472723
8/1/2006,9.637387,9.75976,9.093093,9.472723,4274601120,10.057558
9/1/2006,9.534284,10.477728,9.427427,10.057558,4857193944,11.921672
10/1/2006,10.057558,12.311311,9.964715,11.921672,6334219440,12.132382
11/1/2006,11.980981,12.837838,11.638138,12.132382,4732874388,11.523524
12/1/2006,12.161662,12.322322,11.31982,11.523524,3662901432,12.55005
1/1/2007,11.661662,12.837838,11.539289,12.55005,4978500516,11.247497
2/1/2007,12.662663,12.662913,11.087087,11.247497,4552007436,11.465465
3/1/2007,11.077828,11.661662,10.935936,11.465465,4719931344,11.796296
4/1/2007,11.455455,12.324825,11.314314,11.796296,3714621660,12.46021
5/1/2007,11.816567,12.732232,11.446697,12.46021,3979284732,13.080581
6/1/2007,12.537538,13.388138,12.452202,13.080581,5156774064,12.762763
7/1/2007,13.1504,13.978478,12.484484,12.762763,4660566768,12.894144
8/1/2007,12.775275,13.183684,12.023524,12.894144,3544479972,14.195946
9/1/2007,12.888388,14.309059,12.784785,14.195946,2773775448,17.692694
10/1/2007,14.263514,17.692694,14.254505,17.692694,6211821960,17.342342
11/1/2007,17.587337,18.699699,15.415916,17.342342,6852148992,17.304304
12/1/2007,17.292543,18.138138,16.328829,17.304304,3409151436,14.121622
1/1/2008,17.339088,17.451702,12.987988,14.121622,6305264424,11.791291
2/1/2008,13.22998,13.53954,11.182432,11.791291,7080332580,11.022773
3/1/2008,11.79955,11.82983,10.313063,11.022773,5818795380,14.371622
4/1/2008,11.204705,14.636136,11.036036,14.371622,5716066212,14.65966
5/1/2008,14.472222,15.076326,13.458709,14.65966,4181126688,13.173674
